,MRIPDFF,rf,env,log,den,phase,phase2,rf,env,log,den,phase,phase2,,,,,,,,,,,,,,,,,,,,,,,
82,14.13,2.338687088,2.585292544,6.922332878,6.116684454,3.461867644,5.004268686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,14.13,3.005975109,4.29679198,6.993269885,6.502433376,3.460848403,4.970704123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,14.13,2.95991422,4.443085102,6.97310319,6.391551234,3.450979366,4.984936824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,14.13,3.115574113,4.13620219,7.011148609,6.526175973,3.457387951,4.898081884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,33.450001,4.104826901,6.105584729,6.944158815,6.759745876,3.460592426,4.926561147,33.450001,3.570167095,5.191086159,6.949764926,6.532989176,3.46146328,,,,,,,,,,,,,,,,,,,,,,,
87,33.450001,4.057115643,6.237487676,6.950436617,6.642910421,3.466424046,5.008587718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,33.450001,4.022865606,6.197141378,6.968657308,6.669283859,3.463868606,4.933006932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,33.450001,4.072020772,6.255315642,6.980372978,6.714175577,3.463651694,4.93856748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,33.450001,2.915858739,3.704838458,6.918801447,6.296360928,3.459909482,4.911433197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,33.450001,2.98459794,4.187584157,6.972706342,6.361754447,3.452763136,4.973170373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,33.450001,2.833884067,3.649651071,6.913220974,6.286693126,3.463033571,4.964252059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,19.15,3.67979877,5.251582143,6.780453788,6.436479853,3.467565064,4.919194226,19.15,3.056889981,4.187665772,6.859044557,6.284991125,3.463235567,,,,,,,,,,,,,,,,,,,,,,,
94,19.15,3.670112284,5.512135692,6.896105044,6.478433538,3.465463065,4.909036343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,19.15,3.645333467,5.486188436,6.854754873,6.48942947,3.462182566,4.971522396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,19.15,3.295929735,4.775266403,6.749902113,6.236571373,3.464006548,4.922940264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,19.15,2.378458784,2.71224842,6.935838007,6.133226008,3.465157081,4.984336579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,19.15,2.307823668,2.806868518,6.894796251,6.082598759,3.463388638,4.968257251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,19.15,2.42077316,2.769370793,6.901461827,6.13819887,3.454886006,4.971381707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,19.93,2.357076707,2.687659702,6.629095037,5.765238963,3.467812035,4.999278766,19.93,3.23000761,4.380289776,6.833467665,6.281943929,3.469892854,,,,,,,,,,,,,,,,,,,,,,,
101,19.93,3.504142971,4.658955571,6.881101873,6.427348996,3.46558698,5.002598941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,19.93,3.471337699,4.513598437,6.79510286,6.322661251,3.47049073,4.894710279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,19.93,3.819933117,5.882483566,6.922477466,6.53839188,3.470175331,4.992042955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,19.93,3.874866387,5.859497009,6.915610627,6.553697171,3.464183579,4.942329734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,19.93,3.768353495,5.777631964,6.936073128,6.530813301,3.473523225,5.002425891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,19.93,3.351835457,4.493884804,6.763595738,6.253023618,3.46533057,5.02673359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,19.93,3.266080061,4.409423382,6.800719925,6.26752083,3.467555284,4.889215596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
